,Address,Baths,Beds,Latitude,Location,Longitude,Price
90,1608 Green Rd,2 baths,3 beds,39.6935534,Bowmanville,-76.5479001,"$474,900 CAD"
91,329 Elgin St,2 baths,2 beds,44.914622914285715,McLaughlin,-75.83497828571429,"$349,900 CAD"
92,10 Pardon Ave,3 baths,4 beds,43.90627135924752,Williamsburg,-78.97371993246497,"$729,900 CAD"
93,53 Wrenson Rd,2 baths,3+1 beds,43.67497937666667,Woodbine Corridor,-79.31511688333333,"$799,000 CAD"
94,875 St Clarens Ave,5 baths,3+2 beds,43.66967209130435,Toronto,-79.44625039130435,"$1,999,900 CAD"
95,5 Dominy Dr,3 baths,4+1 beds,43.86857736,Ajax,-79.03101185999999,"$899,000 CAD"
96,91 Beckett Cres,3 baths,3 beds,43.893232081521546,Clarington,-78.80000710932725,"$599,000 CAD"
97,34 Platform Cres,5 baths,4+2 beds,43.682568,Brampton,-79.82923269999999,"$1,199,000 CAD"
98,998 Brimley Rd,0 baths,0 beds,43.7487964,Bendale,-79.2533794,"$699,900 CAD"
99,12 Divadale Dr,4 baths,4 beds,43.71333452091748,Leaside,-79.37441930790239,"$2,499,000 CAD"
100,64 Morris Tr,3 baths,2+1 beds,41.557186,Welland,-77.536084,"$649,888 CAD"
101,46 Copeland Rd,3 baths,4 beds,44.55610475709578,Fletcher's West,-64.73539380178032,"$849,000 CAD"
102,698 West Shore Blvd,4 baths,3+1 beds,43.813649835,Pickering,-79.102743635,"$759,000 CAD"
103,12 Old Mill Lane,3 baths,2+1 beds,40.21862172879255,Niagara-on-the-Lake,-74.96260910212696,"$1,195,000 CAD"
104,249 Brisdale Dr,4 baths,3+1 beds,43.692838466666664,Fletcher's Meadow,-79.8288542,"$774,900 CAD"
105,834444 4th. Line Ehs Line,2 baths,1+1 beds,44.0125613,Mono,-80.0357171,"$799,000 CAD"
106,42 Kingsnorth Blvd,4 baths,4 beds,43.8175178968151,Vaughan,-79.5579560495409,"$1,449,900 CAD"
107,483 Broadview Ave,3 baths,4 beds,38.73055181540404,North Riverdale,-77.80225789384052,"$2,499,000 CAD"
108,8794 Ravenshoe Rd,2 baths,3+1 beds,51.4156941,Georgina,-3.2433335,"$2,880,000 CAD"
109,24 Montressor Dr,4 baths,5+1 beds,43.755565765989424,St. Andrew-Windfields,-79.39334084161788,"$2,495,000 CAD"
110,3534 Fountain Park Ave,4 baths,4+1 beds,43.554062615384616,Mississauga,-79.74176646153846,"$799,900 CAD"
111,3534 Fountain Park Ave,4 baths,4+1 beds,43.554062615384616,Mississauga,-79.74176646153846,"$799,900 CAD"
112,38 Paperbirch Dr,4 baths,4+1 beds,43.735034744629594,Toronto,-79.35048802094023,"$2,288,800 CAD"
113,711 Rayner Crt,4 baths,3+1 beds,43.49042281921629,Milton,-79.87765794544897,"$759,900 CAD"
114,23 Lynda Ave,2 baths,2+2 beds,54.68645885,Mono,-5.898722687834054,"$884,500 CAD"
115,50 Melrose Dr,3 baths,3 beds,41.33327148457545,Niagara-on-the-Lake,-72.86508554935459,"$1,344,701 CAD"
116,10 Stewart St,3 baths,3 beds,42.22512725,New Tecumseth,-71.58950682715232,"$575,000 CAD"
117,52 Poucher St,2 baths,3 beds,43.67135,Blake-Jones,-79.340761,"$849,900 CAD"
118,29 Cobham Cres,3 baths,4 beds,-37.5674103,Victoria Village,175.1494521,"$899,900 CAD"
119,49 Lawrence Ave,3 baths,3+2 beds,51.600498433333335,Lawrence Park South,-0.0382098,"$2,495,000 CAD"
120,115 White Tail Cres,4 baths,3+1 beds,43.66438456923718,Brampton,-79.76883787493601,"$799,888 CAD"
121,3 Parkway Ave,2 baths,3 beds,41.83378609312874,Vaughan,-71.43719033294477,"$1,988,800 CAD"
122,90 Glen Park Ave,3 baths,4 beds,43.71188175555555,Englemount-Lawrence,-79.43512571666666,"$1,699,000 CAD"
123,26 Hyde Park Dr,4 baths,4+1 beds,41.80377865806125,Richmond Hill,-73.90478511334932,"$1,480,000 CAD"
124,66 Kettlewell Cres,4 baths,4+2 beds,43.77919867856495,Sandringham-Wellington,-79.74575222683815,"$799,900 CAD"
125,265 Wagg Rd,0 baths,0 beds,44.05022814935087,Uxbridge,-79.210874485737,"$5,999,999 CAD"
126,46 Richardson Dr,4 baths,3+1 beds,43.3604543,Aurora,-70.8889037,"$749,900 CAD"
127,2 Wallwark St,4 baths,4 beds,44.021113,Bayview Northeast,-79.445164,"$899,900 CAD"
128,14 Albemarle Crt,3 baths,3+1 beds,43.72169945203066,Heart Lake West,-79.80322278369464,"$959,500 CAD"
129,5176 Fernbrook Crt,4 baths,4 beds,43.4001876,Burlington,-79.7910177,"$999,888 CAD"
130,500 Chestnut St,4 baths,5 beds,42.66588,Whitby,-71.10833284719065,"$899,000 CAD"
131,500 Chestnut St,4 baths,5 beds,42.66588,Whitby,-71.10833284719065,"$899,000 CAD"
132,70 Rosemount Ave,4 baths,4+1 beds,42.879880484615384,Markham,-79.2704327,"$1,430,000 CAD"
133,71 Beechwood Ave,3 baths,4 beds,54.5546895,Toronto,-1.2262205,"$1,199,888 CAD"
134,35 Ridge Dr,4 baths,4+1 beds,41.832701650000004,Rosedale-Moore Park,-70.83636886089079,"$3,499,000 CAD"
135,90 Couples Gallery,3 baths,2 beds,44.04506052115937,Whitchurch-Stouffville,-79.28453515850171,"$988,000 CAD"
136,47 Morningside Ave,1 baths,3 beds,40.94445119047619,Guildwood,-73.88807447619047,"$749,900 CAD"
137,228 Lech Walesa Dr,4 baths,3+1 beds,43.579852,Mississauga,-79.628822,"$849,000 CAD"
138,22 Birch St,2 baths,3 beds,44.6065073,Asphodel-Norwood,-81.2678063,"$549,000 CAD"
139,207 Deerglen Terr,4 baths,3 beds,43.99417234283555,Aurora,-79.45066684064204,"$929,000 CAD"
140,17 Linville Rd,2 baths,2+2 beds,35.763476387930986,Woburn,-81.93997396528424,"$748,800 CAD"
141,85 Daiseyfield Ave,2 baths,3 beds,43.92090854802402,Clarington,-78.79431460953064,"$584,900 CAD"
142,32 Weatherall Ave,3 baths,3 beds,43.396753,Cambridge,-80.3807571,"$769,000 CAD"
143,24 Arnold Heights Dr,5 baths,4+1 beds,43.9044451393131,Victoria Square,-79.37797899212933,"$1,698,000 CAD"
144,21 Radford Ave,4 baths,4 beds,34.162156,Roncesvalles,-118.3921465,"$1,675,000 CAD"
145,25 Allonsius Dr,2 baths,3+1 beds,43.643728983614366,Etobicoke West Mall,-79.57420115499578,"$899,900 CAD"
146,2110 Saxon Rd,2 baths,3+2 beds,51.5457491,Oakville,0.0758871,"$979,000 CAD"
147,145 Hatt Crt,3 baths,4 beds,43.4814881,Milton,-79.8507518,"$849,000 CAD"
148,40 Parkington Cres,2 baths,3+1 beds,43.771115772853264,Parkington Cres,-79.24536697362106,"$739,000 CAD"
149,297 Eaton St,5 baths,4+1 beds,52.6085739,Halton Hills,1.2513816,"$1,299,900 CAD"
150,85 Allingham Gdns,5 baths,5+2 beds,43.737643848572716,Clanton Park,-79.44071651305262,"$1,998,800 CAD"
151,2959 Concession Road 7,0 baths,0 beds,44.57262230995369,Clarington,-79.23691984978608,"$1,000,000 CAD"
152,79 Scarboro Beach Blvd,2 baths,3 beds,43.67026416666666,Toronto,-79.29291009333333,"$1,489,000 CAD"
153,56 Elmhurst Dr,1 baths,3 beds,43.07847139757271,Elms-Old Rexdale,-75.32015744124686,"$799,900 CAD"
154,1315 Inuit Tr,4 baths,3 beds,68.3640737,Mississauga,-133.7267939,"$759,900 CAD"
155,38 Lambard Cres,2 baths,3 beds,43.833474769024576,Ajax,-79.007451437867,"$679,900 CAD"
156,1807 Dencourt Dr,3 baths,4 beds,43.828625961694115,Pickering,-79.12931113289119,"$985,000 CAD"
157,60 Leuty Ave,3 baths,3 beds,43.66916819583333,Leuty Ave,-79.29603805833334,"$1,529,000 CAD"
158,134 Knott End Cres,3 baths,3 beds,44.0509766,Newmarket,-79.4935244,"$735,000 CAD"
159,26 Markhaven Rd,6 baths,4+2 beds,43.864043046236354,Markham,-79.32137482337455,"$3,198,000 CAD"
160,81 Ridgemore Cres,4 baths,4+1 beds,43.706071725765916,Brampton,-79.83078904608051,"$739,700 CAD"
161,387 Thomas Cook Ave,4 baths,4+1 beds,43.8633316,Vaughan,-79.4749801,"$1,328,000 CAD"
162,117 Baxter St,4 baths,4+1 beds,40.71801,Bowmanville,-73.99890542857142,"$667,800 CAD"
163,101 Yorkview Dr,1 baths,2 beds,43.629093999999995,Willowdale West,-79.51319185917495,"$1,419,000 CAD"
164,67 Russett Ave,2 baths,3+1 beds,43.66159753962265,Dovercourt-Wallace Emerson-Junction,-79.43714975283018,"$1,298,000 CAD"
165,148 Sanford St,4 baths,5 beds,41.787079469964816,Hamilton,-72.66959552626962,"$795,000 CAD"
166,34 Sonmore Dr,2 baths,3+1 beds,43.78230220963708,Agincourt South-Malvern West,-79.27578411376868,"$875,000 CAD"
167,1631 Pinetree Cres,3 baths,4 beds,43.5580745,Mineola,-79.6075351,"$1,799,850 CAD"
168,234 Lormont Blvd,4 baths,3 beds,44.8791708,Stoney Creek,-0.5216683,"$639,900 CAD"
169,234 Lormont Blvd,4 baths,3 beds,44.8791708,Hamilton,-0.5216683,"$639,900 CAD"
170,88 Tragina Ave,2 baths,2 beds,43.241738,Bartonville,-79.803283,"$464,900 CAD"
171,199 Humberside Ave,1 baths,5 beds,43.6611483,Toronto,-79.46452498571429,"$1,198,000 CAD"
172,1222 Old Oak Dr,3 baths,3 beds,53.8315349,Oakville,-1.6059579,"$799,900 CAD"
173,2250 Highriver Crt,5 baths,5+1 beds,43.54208593930915,Mississauga,-79.64009122516102,"$2,699,850 CAD"
174,1381 Trotwood Ave,5 baths,4+1 beds,43.571702,Mineola,-79.58266678571428,"$1,998,000 CAD"
175,8 Lancaster Crt,3 baths,3 beds,38.813764,Barrie,-90.2983666,"$495,000 CAD"
176,74 Teresa Dr,4 baths,4 beds,37.03451623825248,Whitby,-76.43103204332157,"$799,900 CAD"
177,25 Mcclure Crt,3 baths,3 beds,43.652413615844246,Halton Hills,-79.9147503236187,"$689,900 CAD"
178,18 Edinburgh Dr,5 baths,4+1 beds,53.741155,Lansing-Westgate,-2.3870091,"$2,690,000 CAD"
179,2229 Pineneedle Row,4 baths,4 beds,43.557627251314464,Erindale,-79.62254519380117,"$2,655,000 CAD"
180,20 Claxton Cres,3 baths,4 beds,-35.2354587,Kawartha Lakes,149.1221847,"$599,000 CAD"
181,71 Father Ermanno Cres,4 baths,5 beds,43.7975164419509,Vaughan,-79.5581312614776,"$1,398,000 CAD"
182,18 Peters Pike Rd,2 baths,4 beds,43.9882726,Clarington,-78.6157736,"$499,900 CAD"
183,112 Glenabbey Dr,4 baths,4+1 beds,45.360662,Courtice,-63.1912859,"$749,900 CAD"
184,79 Morgan Ave,2 baths,3+1 beds,41.19045865306122,Markham,-73.20473899999999,"$1,200,000 CAD"
185,320 Gainsborough Rd,2 baths,3 beds,51.4969563,Woodbine Corridor,-0.2495281,"$1,099,000 CAD"
186,154 Trail Ridge Lane,4 baths,3+1 beds,43.88706839883051,Berczy,-79.2917251109576,"$799,900 CAD"
187,15 Braeside Cres,3 baths,3 beds,41.747702476702095,Huntsville,-72.5510461218668,"$669,000 CAD"
